Navn;Stasjon;Dato;Nedbør;Middeltemperatur;Maksimumstemperatur;Minimumstemperatur;Snødybde
Oslo - Blindern;SN18700;28.06.2018;0;21,5;30,1;13,9;0
Oslo - Blindern;SN18700;29.06.2018;0;17,6;24;12,1;0
Oslo - Blindern;SN18700;30.06.2018;0;17,3;24,6;10,3;0
Oslo - Blindern;SN18700;01.07.2018;0;20,4;27,6;10,6;0
Oslo - Blindern;SN18700;02.07.2018;0;21,7;28,9;13,1;0
Oslo - Blindern;SN18700;03.07.2018;0;23,6;31,6;14;0
Oslo - Blindern;SN18700;04.07.2018;0;22,8;29,7;17;0
Oslo - Blindern;SN18700;05.07.2018;0;19,4;26,6;14,9;0
Oslo - Blindern;SN18700;06.07.2018;0;21,8;27,8;14,4;0
Oslo - Blindern;SN18700;07.07.2018;0,1;20,5;25,8;16,4;0
Oslo - Blindern;SN18700;08.07.2018;0;21,4;28,2;15,5;0
Oslo - Blindern;SN18700;09.07.2018;0;17,7;23,6;13,5;0
Oslo - Blindern;SN18700;10.07.2018;1,8;23,4;29;17,3;0
Oslo - Blindern;SN18700;11.07.2018;0;25;30,8;20,1;0
Oslo - Blindern;SN18700;12.07.2018;0;21,5;29,3;17,5;0
Oslo - Blindern;SN18700;13.07.2018;1,8;22,3;30,5;15,3;0
Oslo - Blindern;SN18700;14.07.2018;0;20,5;26,5;18,1;0
Oslo - Blindern;SN18700;15.07.2018;0;20,7;28,1;15;0
Oslo - Blindern;SN18700;16.07.2018;0;21,9;28,5;16,9;0
Oslo - Blindern;SN18700;17.07.2018;1,2;24,6;31,9;16,3;0
Oslo - Blindern;SN18700;18.07.2018;0;22,1;28,3;19,4;0
Oslo - Blindern;SN18700;19.07.2018;0,1;22,5;30;15,3;0
Oslo - Blindern;SN18700;20.07.2018;0;21,2;28,4;14,7;0
Oslo - Blindern;SN18700;21.07.2018;0;20,6;27,3;13,7;0
Oslo - Blindern;SN18700;22.07.2018;0;20,8;27,5;17;0
Oslo - Blindern;SN18700;23.07.2018;0;22,8;29,2;16,4;0
Oslo - Blindern;SN18700;24.07.2018;0;23,3;29,8;18,6;0
Oslo - Blindern;SN18700;25.07.2018;0;22,7;28,9;18,2;0
Oslo - Blindern;SN18700;26.07.2018;0;24,3;32,7;16;0
Oslo - Blindern;SN18700;27.07.2018;0;25,9;34,6;15,9;0
Oslo - Blindern;SN18700;28.07.2018;0;24,7;31,7;21,7;0
Oslo - Blindern;SN18700;29.07.2018;9,6;22,3;26,8;20,4;0
Oslo - Blindern;SN18700;30.07.2018;0;21;27,5;14;0
Oslo - Blindern;SN18700;31.07.2018;1,3;23,5;31,6;18,4;0
Oslo - Blindern;SN18700;01.08.2018;9,8;21,3;27,4;17,3;0
Oslo - Blindern;SN18700;02.08.2018;0;19,8;24,8;15;0
Oslo - Blindern;SN18700;03.08.2018;0,1;19,8;25;14,6;0
Oslo - Blindern;SN18700;04.08.2018;0,1;21,8;28,5;15,8;0
Oslo - Blindern;SN18700;05.08.2018;0;19,6;25,1;16,9;0
Oslo - Blindern;SN18700;06.08.2018;0;17,1;21,9;12,8;0
Oslo - Blindern;SN18700;07.08.2018;0;18,5;25,1;13,6;0
Oslo - Blindern;SN18700;08.08.2018;1,2;18,4;23,3;15,6;0
